0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:26:50 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:26:52 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:26:52 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:26:52 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:27:05 +0530] "GET /Langs/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:27:30 +0530] "GET /Langs/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:29:57 +0530] "GET /Langs/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:29:58 +0530] "GET /Langs/x.jsp?name=payal HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:32:16 +0530] "GET /Langs/x.jsp?name=payal HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:32:45 +0530] "GET /Langs/x.jsp?name=payal HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:32:46 +0530] "GET /Langs/x.jsp?name=payal HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:32:46 +0530] "GET /Langs/x.jsp?name=payal HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:32:47 +0530] "GET /Langs/x.jsp?name=payal HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:32:47 +0530] "GET /Langs/x.jsp?name=payal HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:32:59 +0530] "GET /Langs/ HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:33:02 +0530] "GET /Langs/ HTTP/1.1" 200 383
